

/Gem Systems GSM-19TW 9113462 v7.0 11 VI 2009 M t-ew3.v7                           
/ID 1 file 01survey.b   10 II 14
/datum  00000.00
/
/time nT sq 
102340.0  48545.43 99 
102342.0  48544.34 99 
102344.0  48547.23 98 
102346.0  48548.13 99 
102348.0  48549.79 98 
102350.0  48545.29 98 
102352.0  48546.98 99 
102354.0  48551.04 99 
102356.0  48548.84 99 
102358.0  48550.50 99 
102400.0  48552.43 99 
102402.0  48551.18 99 
102404.0  48550.76 98 
102406.0  48552.09 98 
102408.0  48551.32 99 
102410.0  48547.60 99 
102412.0  48547.68 99 
102414.0  48548.36 98 
102416.0  48551.92 99 
102418.0  48550.10 99 
102420.0  48549.20 99 
102422.0  48547.93 98 
102424.0  48547.03 99 
102426.0  48547.29 99 
102428.0  48548.32 99 
102430.0  48549.51 99 
102432.0  48548.87 99 
102434.0  48550.36 99 
102436.0  48551.84 99 
102438.0  48547.17 99 
102440.0  48549.73 98 
102442.0  48550.68 98 
102444.0  48551.01 98 
102446.0  48549.76 98 
102448.0  48548.62 99 
102450.0  48548.98 99 
102452.0  48546.14 99 
102454.0  48551.48 99 
102456.0  48547.80 98 
102458.0  48548.82 98 
102500.0  48550.33 99 
102502.0  48548.31 99 
102504.0  48550.37 99 
102506.0  48551.49 99 
102508.0  48549.12 99 
102510.0  48551.04 99 
102512.0  48548.87 99 
102514.0  48546.76 99 
102516.0  48546.05 99 
102518.0  48549.99 99 
102520.0  48551.20 99 
102522.0  48547.22 99 
102524.0  48550.84 99 
102526.0  48547.22 99 
102528.0  48545.43 99 
102530.0  48548.72 99 
102532.0  48548.58 99 
102534.0  48549.99 99 
102536.0  48547.37 99 
102538.0  48548.27 99 
102540.0  48550.72 99 
102542.0  48547.65 99 
102544.0  48548.57 99 
102546.0  48550.91 99 
102548.0  48550.93 98 
102550.0  48550.33 99 
102552.0  48552.01 98 
102554.0  48553.63 99 
102556.0  48550.21 99 
102558.0  48552.90 99 
102600.0  48548.45 99 
102602.0  48549.84 99 
102604.0  48549.92 99 
102606.0  48548.68 98 
102608.0  48552.48 98 
102610.0  48547.81 99 
102612.0  48550.03 98 
102614.0  48546.76 98 
102616.0  48549.79 98 
102618.0  48552.14 99 
102620.0  48552.09 99 
102622.0  48546.50 99 
102624.0  48548.65 99 
102626.0  48550.75 99 
102628.0  48550.03 98 
102630.0  48553.50 98 
102632.0  48547.97 99 
102634.0  48549.98 99 
102636.0  48551.11 98 
102638.0  48548.41 99 
102640.0  48548.91 98 
102642.0  48552.07 98 
102644.0  48547.95 98 
102646.0  48549.76 98 
102648.0  48548.77 99 
102650.0  48549.22 99 
102652.0  48551.54 99 
102654.0  48549.76 99 
102656.0  48550.91 99 
102658.0  48549.21 99 
102700.0  48553.27 89 
102702.0  48548.62 98 
102704.0  48552.77 98 
102706.0  48548.95 98 
102708.0  48550.40 99 
102710.0  48548.22 99 
102712.0  48549.37 99 
102714.0  48550.36 98 
102716.0  48548.44 99 
102718.0  48547.85 98 
102720.0  48547.53 99 
102722.0  48549.87 99 
102724.0  48548.32 98 
102726.0  48547.12 99 
102728.0  48550.93 99 
102730.0  48551.42 98 
102732.0  48547.47 99 
102734.0  48546.75 99 
102736.0  48551.75 99 
102738.0  48548.23 99 
102740.0  48549.85 98 
102742.0  48550.56 99 
102744.0  48551.68 99 
102746.0  48550.96 98 
102748.0  48551.11 98 
102750.0  48549.57 98 
102752.0  48548.27 99 
102754.0  48550.23 99 
102756.0  48550.28 99 
102758.0  48550.70 98 
102800.0  48550.00 98 
102802.0  48548.24 98 
102804.0  48547.29 99 
102806.0  48545.52 99 
102808.0  48554.68 99 
102810.0  48556.93 98 
102812.0  48554.73 99 
102814.0  48557.01 99 
102816.0  48552.59 99 
102818.0  48555.92 99 
102820.0  48550.35 99 
102822.0  48548.22 99 
102824.0  48550.76 99 
102826.0  48552.93 99 
102828.0  48548.79 98 
102830.0  48548.41 98 
102832.0  48553.34 98 
102834.0  48551.87 99 
102836.0  48549.70 98 
102838.0  48549.31 99 
102840.0  48550.27 99 
102842.0  48546.40 98 
102844.0  48544.47 98 
102846.0  48547.62 99 
102848.0  48543.44 99 
102850.0  48547.50 99 
102852.0  48544.04 99 
102854.0  48546.71 98 
102856.0  48545.55 99 
102858.0  48544.21 99 
102900.0  48544.81 99 
102902.0  48549.59 99 
102904.0  48548.28 99 
102906.0  48546.14 99 
102908.0  48550.21 98 
102910.0  48548.45 99 
102912.0  48555.10 99 
102914.0  48554.97 97 
102916.0  48556.89 99 
102918.0  48554.29 98 
102920.0  48553.57 98 
102922.0  48548.31 99 
102924.0  48550.01 99 
102926.0  48551.40 99 
102928.0  48547.67 98 
102930.0  48546.54 99 
102932.0  48545.70 99 
102934.0  48549.93 98 
102936.0  48549.68 99 
102938.0  48548.96 99 
102940.0  48550.22 98 
102942.0  48549.97 98 
102944.0  48548.83 99 
102946.0  48550.10 99 
102948.0  48551.54 99 
102950.0  48547.99 99 
102952.0  48549.22 99 
102954.0  48550.10 99 
102956.0  48550.54 99 
102958.0  48549.02 98 
103000.0  48550.36 99 
103002.0  48551.33 99 
103004.0  48549.36 99 
103006.0  48550.99 99 
103008.0  48547.38 98 
103010.0  48548.03 98 
103012.0  48548.79 98 
103014.0  48547.79 99 
103016.0  48548.55 98 
103018.0  48547.00 99 
103020.0  48548.04 88 
103022.0  48544.10 98 
103024.0  48550.58 88 
103026.0  48543.71 99 
103028.0  48549.96 99 
103030.0  48547.85 99 
103032.0  48545.49 99 
103034.0  48549.64 98 
103036.0  48544.06 99 
103038.0  48546.57 99 
103040.0  48548.93 99 
103042.0  48548.73 99 
103044.0  48544.09 99 
103046.0  48545.13 99 
103048.0  48546.03 99 
103050.0  48546.26 99 
103052.0  48549.76 99 
103054.0  48549.85 98 
103056.0  48547.75 99 
103058.0  48554.82 88 
103100.0  48551.08 99 
103102.0  48549.72 99 
103104.0  48548.25 98 
103106.0  48545.18 98 
103108.0  48552.83 97 
103110.0  48548.63 98 
103112.0  48550.56 98 
103114.0  48551.55 99 
103116.0  48546.76 98 
103118.0  48552.64 99 
103120.0  48548.40 99 
103122.0  48551.28 99 
103124.0  48547.01 99 
103126.0  48549.46 99 
103128.0  48550.16 98 
103130.0  48545.37 98 
103132.0  48546.43 98 
103134.0  48547.43 99 
103136.0  48552.78 99 
103138.0  48550.29 98 
103140.0  48546.55 98 
103142.0  48549.85 98 
103144.0  48549.27 98 
103146.0  48549.22 99 
103148.0  48552.77 88 
103150.0  48547.17 99 
103152.0  48546.51 98 
103154.0  48550.06 99 
103156.0  48548.59 98 
103158.0  48549.74 99 
103200.0  48544.49 99 
103202.0  48544.56 98 
103204.0  48544.73 99 
103206.0  48540.30 98 
103208.0  48544.91 98 
103210.0  48542.23 99 
103212.0  48544.62 98 
103214.0  48546.36 99 
103216.0  48547.44 99 
103218.0  48544.47 98 
103220.0  48551.89 98 
